Date,Gains,Multi Day Gains,SMA Gains,Stoch RSI,Single Day Volume,Buy
2/11/2000,-0.02,-0.018,-0.013,0.7,0.472,0
2/14/2000,0.006,-0.015,-0.004,0.4,-0.134,0
2/15/2000,0.011,0.017,-0.001,0.5,0.299,0
2/16/2000,-0.015,-0.004,0.001,0.7,-0.202,0
2/17/2000,-0.005,-0.02,-0.003,0.4,-0.143,0
2/18/2000,-0.021,-0.027,-0.014,0,0.241,0
2/22/2000,-0.003,-0.024,-0.01,0,0.745,0
2/23/2000,0.012,0.009,-0.004,0,-0.262,0
2/24/2000,-0.02,-0.009,-0.004,0.3,0.434,0
2/25/2000,-0.004,-0.024,-0.004,0,-0.392,1
2/28/2000,0.021,0.017,-0.001,0,0.269,0
2/29/2000,0.01,0.031,0.009,0.4,-0.385,0
3/1/2000,0.007,0.017,0.013,0.9,-0.167,0
3/2/2000,0.001,0.008,0.006,1,0.107,0
3/3/2000,0.019,0.019,0.009,1,0.68,-1
3/6/2000,-0.01,0.009,0.003,1,-0.063,0
3/7/2000,-0.019,-0.029,-0.003,0.8,0.676,0
3/8/2000,-0.001,-0.021,-0.01,0.5,-0.411,1
3/9/2000,0.029,0.028,0.003,0.5,-0.534,-1
3/10/2000,-0.005,0.024,0.008,1,0.441,0
3/13/2000,-0.011,-0.016,0.004,0.9,0.33,0
3/14/2000,-0.014,-0.025,-0.01,0.7,-0.216,1
3/15/2000,0.023,0.009,-0.001,0.5,0.246,0
3/16/2000,0.047,0.071,0.019,0.9,1.485,-1
3/17/2000,0.007,0.054,0.026,1,-0.599,0
3/20/2000,-0.005,0.001,0.016,1,0.217,1
3/21/2000,0.021,0.015,0.008,0.9,0.089,0
3/22/2000,0.006,0.027,0.007,1,-0.393,0
3/23/2000,0.017,0.023,0.015,1,0.411,0
3/24/2000,0.006,0.023,0.01,1,-0.016,-1
3/27/2000,-0.011,-0.005,0.004,1,-0.232,0
3/28/2000,-0.006,-0.016,-0.004,0.8,-0.28,0
3/29/2000,0.001,-0.005,-0.005,0.7,0.065,0
3/30/2000,-0.017,-0.016,-0.007,0.8,0.407,0
3/31/2000,0.011,-0.006,-0.002,0.5,-0.026,0
4/3/2000,0.006,0.017,0,0.6,-0.08,0
4/4/2000,-0.007,-0.002,0.003,0.5,1.302,0
4/5/2000,-0.006,-0.014,-0.002,0.1,-0.572,0
4/6/2000,0.009,0.002,-0.001,0,-0.239,0
4/7/2000,0.006,0.015,0.003,0.2,-0.056,0
4/10/2000,-0.004,0.002,0.004,0.3,0.598,0
4/11/2000,-0.003,-0.007,0,0.2,-0.064,0
4/12/2000,-0.027,-0.03,-0.011,0.1,0.197,0
4/13/2000,-0.014,-0.041,-0.015,0,0.134,0
4/14/2000,-0.057,-0.07,-0.033,0,1.421,1
4/17/2000,0.035,-0.024,-0.012,0,-0.192,0
4/18/2000,0.026,0.062,0.001,0.3,-0.537,0
4/19/2000,-0.009,0.017,0.017,0.5,-0.408,0
4/20/2000,0.005,-0.005,0.007,0.5,0.303,0
4/24/2000,-0.011,-0.006,-0.005,0.5,0.51,0
4/25/2000,0.042,0.03,0.012,0.5,0.094,-1
4/26/2000,-0.011,0.03,0.007,0.8,-0.453,0
4/27/2000,-0.003,-0.015,0.009,0.7,1.022,0
4/28/2000,-0.006,-0.009,-0.007,0.7,-0.439,0
5/1/2000,0.014,0.007,0.002,0.7,-0.162,0
5/2/2000,-0.02,-0.007,-0.004,0.8,0.284,0
5/3/2000,-0.023,-0.043,-0.01,0.7,0.342,0
5/4/2000,0.008,-0.016,-0.012,0.5,-0.528,0
5/5/2000,0.012,0.02,-0.001,0.6,0.318,0
5/8/2000,-0.008,0.005,0.004,0.5,-0.356,0
5/9/2000,-0.008,-0.015,-0.001,0.3,0.11,0
5/10/2000,-0.023,-0.03,-0.013,0.1,0.832,0
5/11/2000,0.023,0,-0.003,0,-0.311,0
5/12/2000,0.011,0.034,0.004,0.4,-0.159,0
5/15/2000,0.017,0.028,0.017,0.6,-0.255,0
5/16/2000,0.01,0.027,0.013,1,0.845,0
5/17/2000,-0.01,-0.001,0.006,1,-0.279,0
5/18/2000,-0.012,-0.023,-0.004,0.8,-0.268,0
5/19/2000,-0.016,-0.028,-0.013,0.6,0.507,0
5/22/2000,-0.008,-0.023,-0.012,0.4,0.663,0
5/23/2000,-0.015,-0.022,-0.013,0.3,-0.264,0
5/24/2000,0.016,0.001,-0.002,0.1,0.389,0
5/25/2000,-0.017,-0.001,-0.005,0.4,-0.253,1
5/26/2000,0.001,-0.016,0,0.1,-0.419,0
5/30/2000,0.033,0.034,0.006,0.1,0.114,0
5/31/2000,0.002,0.035,0.012,0.7,0.129,0
6/1/2000,0.018,0.02,0.018,0.7,0.48,0
6/2/2000,0.017,0.035,0.012,1,0,-1
6/5/2000,-0.005,0.012,0.01,1,-0.219,0
6/6/2000,-0.004,-0.009,0.003,0.9,-0.306,0
6/7/2000,0.007,0.002,-0.001,0.8,0.012,0
6/8/2000,-0.004,0.003,0,0.9,0.163,0
6/9/2000,-0.002,-0.006,0,0.9,-0.461,0
6/12/2000,-0.012,-0.014,-0.006,0.8,0.192,0
6/13/2000,0.019,0.007,0.002,0.6,0.783,0
6/14/2000,0.002,0.02,0.003,0.9,-0.021,0
6/15/2000,0.002,0.004,0.008,0.9,-0.084,0
6/16/2000,-0.008,-0.006,-0.001,0.9,-0.053,0
6/19/2000,0.013,0.004,0.002,0.4,-0.083,0
6/20/2000,-0.004,0.009,0,0.8,0.269,0
6/21/2000,0,-0.004,0.003,0.6,-0.519,0
6/22/2000,-0.015,-0.016,-0.006,0.6,1.405,0
6/23/2000,-0.009,-0.024,-0.008,0,-0.351,0
6/26/2000,0.013,0.004,-0.004,0,0.07,0
6/27/2000,-0.007,0.005,-0.001,0.4,-0.2,0
6/28/2000,0.003,-0.005,0.003,0.2,0.286,0
6/29/2000,-0.009,-0.007,-0.004,0.3,0.187,0
6/30/2000,0.008,-0.002,0.001,0,0.169,0
7/3/2000,0.014,0.021,0.004,0.3,-0.806,0
7/5/2000,-0.018,-0.005,0.001,0.7,0.913,0
7/6/2000,0.008,-0.01,0.001,0.1,1.17,0
7/7/2000,0.016,0.024,0.002,0.4,-0.491,0
7/10/2000,-0.002,0.014,0.007,0.8,-0.072,0
7/11/2000,0.002,0,0.005,0.9,0.929,0
7/12/2000,0.007,0.009,0.002,1,0.083,0
7/13/2000,0.004,0.011,0.004,1,-0.09,0
7/14/2000,0.01,0.014,0.007,1,-0.003,0
7/17/2000,-0.002,0.008,0.004,1,-0.212,0
7/18/2000,-0.008,-0.01,0,1,0.013,0
7/19/2000,-0.008,-0.016,-0.006,0.7,0.996,0
7/20/2000,0.014,0.006,-0.001,0.4,-0.466,0
7/21/2000,-0.02,-0.006,-0.005,0.7,0.246,0
7/24/2000,-0.006,-0.025,-0.004,0.2,-0.005,0
7/25/2000,0.003,-0.003,-0.008,0,-0.155,0
7/26/2000,-0.01,-0.007,-0.004,0.1,1.536,0
7/27/2000,-0.003,-0.013,-0.003,0,-0.366,0
7/28/2000,-0.023,-0.026,-0.012,0,-0.186,1
7/31/2000,0.006,-0.016,-0.007,0,-0.155,0
8/1/2000,0.006,0.013,-0.004,0.1,-0.25,0
8/2/2000,0.005,0.011,0.006,0.2,0.885,0
8/3/2000,0.007,0.012,0.006,0.3,-0.381,0
8/4/2000,0.005,0.012,0.006,0.4,-0.2,0
8/7/2000,0.012,0.017,0.008,0.6,0.128,0
8/8/2000,0.004,0.016,0.007,0.8,-0.12,-1
8/9/2000,-0.008,-0.005,0.003,0.9,0.472,0
8/10/2000,-0.005,-0.013,-0.003,0.8,-0.221,1
8/11/2000,0.005,0,-0.003,0.7,0.214,0
8/14/2000,0.013,0.017,0.004,0.8,-0.417,0
8/15/2000,-0.001,0.012,0.006,1,0.876,0
8/16/2000,-0.004,-0.004,0.003,1,-0.067,0
8/17/2000,0.011,0.007,0.002,0.9,0.089,0
8/18/2000,-0.003,0.007,0.001,1,-0.181,0
8/21/2000,0.005,0.002,0.004,0.9,-0.485,0
8/22/2000,-0.002,0.004,0,1,0.292,0
8/23/2000,0.004,0.002,0.002,0.9,0.783,0
8/24/2000,0.003,0.007,0.002,1,-0.174,0
8/25/2000,0,0.003,0.002,1,-0.377,0
8/28/2000,0.003,0.003,0.002,1,0.955,0
8/29/2000,0,0.004,0.001,1,-0.355,-1
8/30/2000,-0.01,-0.009,-0.002,1,0.113,0
8/31/2000,0.013,0.004,0.001,0.3,0.227,0
9/1/2000,0.001,0.014,0.001,0.9,-0.344,0
9/5/2000,-0.008,-0.007,0.002,0.9,0.088,0
9/6/2000,-0.011,-0.019,-0.006,0.2,0.245,1
9/7/2000,0.009,-0.003,-0.003,0,-0.013,-1
9/8/2000,-0.007,0.002,-0.003,0.3,-0.175,0
9/11/2000,-0.001,-0.008,0,0.1,0.119,0
9/12/2000,-0.007,-0.009,-0.005,0,0.211,1
9/13/2000,0.003,-0.005,-0.002,0,0.613,0
9/14/2000,0.005,0.008,0,0.1,-0.558,-1
9/15/2000,-0.022,-0.017,-0.005,0.3,0.203,0
9/18/2000,-0.009,-0.031,-0.009,0,0.251,0
9/19/2000,0.009,0,-0.007,0,0.289,0
9/20/2000,-0.007,0.002,-0.002,0.2,-0.012,0
9/21/2000,-0.015,-0.022,-0.004,0.1,-0.082,1
9/22/2000,0.018,0.003,-0.001,0,0.305,-1
9/25/2000,-0.007,0.011,-0.001,0.4,0.248,0
9/26/2000,-0.013,-0.02,-0.001,0.3,-0.455,1
9/27/2000,0.005,-0.008,-0.005,0.2,0.355,0
9/28/2000,0.013,0.018,0.002,0.3,-0.021,-1
9/29/2000,-0.009,0.003,0.003,0.7,0.326,0
10/2/2000,0.002,-0.008,0.002,0.5,-0.409,0
10/3/2000,-0.009,-0.008,-0.005,0.5,0.694,0
10/4/2000,0.008,-0.001,0,0.4,-0.342,0
10/5/2000,0.003,0.012,0.001,0.9,-0.257,0
10/6/2000,-0.022,-0.018,-0.004,1,1.193,0
10/9/2000,-0.008,-0.029,-0.009,0.4,-0.55,0
10/10/2000,-0.017,-0.024,-0.016,0.2,0.354,0
10/11/2000,-0.008,-0.025,-0.011,0,0.695,0
10/12/2000,-0.025,-0.033,-0.017,0,0.192,1
10/13/2000,0.033,0.008,0,0,-0.045,0
10/16/2000,0.005,0.038,0.004,0.7,-0.52,0
10/17/2000,-0.025,-0.02,0.004,0.8,0.384,0
10/18/2000,-0.004,-0.028,-0.008,0.5,0.391,-1
10/19/2000,0.038,0.034,0.003,0.5,-0.195,0
10/20/2000,0.004,0.042,0.013,1,-0.159,0
10/23/2000,0.004,0.009,0.015,1,-0.283,0
10/24/2000,-0.007,-0.002,0,1,0.087,0
10/25/2000,-0.024,-0.03,-0.009,0.9,0.589,0
10/26/2000,0.003,-0.021,-0.009,0.7,0.023,1
10/27/2000,0.019,0.022,-0.001,0.7,0.045,0
10/30/2000,0.009,0.028,0.01,1,0.04,0
10/31/2000,0.017,0.026,0.015,1,-0.237,-1
11/1/2000,-0.003,0.014,0.008,1,-0.129,0
11/2/2000,0.002,-0.002,0.005,1,0.687,0
11/3/2000,0.001,0.002,0,1,-0.545,0
11/6/2000,0.007,0.008,0.003,1,-0.221,0
11/7/2000,0,0.007,0.003,1,0.294,0
11/8/2000,-0.022,-0.022,-0.005,1,0.171,0
11/9/2000,-0.004,-0.026,-0.009,0.5,0.737,0
11/10/2000,-0.024,-0.028,-0.017,0.4,-0.194,0
11/13/2000,-0.008,-0.032,-0.012,0,1.017,1
11/14/2000,0.026,0.018,-0.002,0,-0.556,0
11/15/2000,0.003,0.03,0.007,0.5,0.152,-1
11/16/2000,-0.016,-0.013,0.004,0.5,-0.244,0
11/17/2000,-0.005,-0.021,-0.006,0.3,-0.02,0
11/20/2000,-0.014,-0.02,-0.012,0.2,-0.167,0
11/21/2000,0.005,-0.009,-0.005,0,0.408,0
11/22/2000,-0.024,-0.019,-0.011,0.1,-0.253,1
11/24/2000,0.02,-0.004,0,0,-0.405,0
11/27/2000,0.009,0.029,0.002,0.3,0.756,-1
11/28/2000,-0.017,-0.009,0.004,0.5,-0.109,0
11/29/2000,-0.002,-0.019,-0.003,0.4,0.296,0
11/30/2000,-0.009,-0.011,-0.009,0.4,0.62,0
12/1/2000,0,-0.009,-0.004,0.3,-0.323,1
12/4/2000,0.009,0.008,0,0.2,-0.078,0
12/5/2000,0.033,0.042,0.014,0.5,0.27,-1
12/6/2000,-0.016,0.016,0.009,1,0.451,0
12/7/2000,-0.014,-0.029,0.001,0.7,-0.493,1
12/8/2000,0.002,-0.011,-0.009,0.5,0.574,0
12/11/2000,0.035,0.037,0.008,0.6,-0.377,-1
12/12/2000,-0.004,0.03,0.011,1,-0.216,0
12/13/2000,-0.014,-0.018,0.006,0.9,0.209,0
12/14/2000,-0.013,-0.026,-0.01,0.7,0.265,0
12/15/2000,-0.023,-0.035,-0.017,0.5,0.181,1
12/18/2000,0.013,-0.01,-0.008,0.1,-0.202,-1
12/19/2000,-0.02,-0.007,-0.01,0.4,0.329,0
12/20/2000,-0.029,-0.049,-0.012,0.1,0.039,1
12/21/2000,0.007,-0.022,-0.014,0,0.434,0
12/22/2000,0.03,0.037,0.003,0.1,-0.289,-1
12/26/2000,0.011,0.041,0.016,0.5,-0.542,0
12/27/2000,0.007,0.018,0.016,0.6,0.04,0
12/28/2000,0.003,0.01,0.007,0.7,0.722,0
12/29/2000,-0.019,-0.016,-0.003,0.8,0.05,0
1/2/2001,-0.018,-0.037,-0.011,0.5,-0.004,1
1/3/2001,0.048,0.029,0.004,0.4,1.224,-1
1/4/2001,-0.011,0.037,0.006,1,-0.526,0
1/5/2001,-0.033,-0.043,0.001,0.9,0.401,1
1/8/2001,0.008,-0.025,-0.012,0.5,-0.487,0
1/9/2001,-0.003,0.005,-0.009,0.6,-0.139,0
1/10/2001,0.018,0.015,0.008,0.6,0.534,-1
1/11/2001,0.001,0.019,0.005,0.8,-0.172,0
1/12/2001,-0.002,-0.001,0.006,0.8,0,0
1/16/2001,0.006,0.004,0.002,0.7,0.179,0
1/17/2001,0.005,0.011,0.003,0.8,-0.081,0
1/18/2001,0.01,0.015,0.007,0.9,0.033,0
1/19/2001,-0.006,0.004,0.003,1,-0.04,0
1/22/2001,0.007,0.001,0.004,0.9,-0.094,0
1/23/2001,0.008,0.015,0.003,1,0.2,0
1/24/2001,0.003,0.011,0.006,1,-0.267,0
1/25/2001,-0.003,0,0.003,1,0.745,0
1/26/2001,-0.001,-0.004,0,0.9,-0.34,0
1/29/2001,0.005,0.004,0,0.9,-0.06,0
1/30/2001,0.009,0.014,0.004,1,0.054,0
1/31/2001,-0.006,0.003,0.003,1,0.373,0
2/1/2001,0.007,0.001,0.003,0.8,-0.151,0
2/2/2001,-0.023,-0.016,-0.007,1,0.005,1
2/5/2001,0.007,-0.016,-0.003,0,-0.474,-1
2/6/2001,-0.003,0.004,-0.006,0.3,0.633,0
2/7/2001,-0.005,-0.008,0,0.1,-0.191,0
2/8/2001,-0.012,-0.017,-0.007,0,0.034,0
2/9/2001,-0.01,-0.021,-0.009,0,0.668,1
2/12/2001,0.011,0.002,-0.004,0,-0.414,-1
