Date,Gains,Multi Day Gains,SMA Gains,Stoch RSI,Single Day Volume,Buy,Stoch Avg,SMA Gains Avg,Buys Avg
2/18/2000,-0.02,-0.03,-0.01,0,0.24,0,0.45,0,0
2/22/2000,0,-0.02,-0.01,0,0.74,0,0.33,0,0
2/23/2000,0.01,0.01,0,0,-0.26,0,0.27,0,0
2/24/2000,-0.02,-0.01,0,0.3,0.43,0,0.23,0,0.167
2/25/2000,0,-0.02,0,0,-0.39,1,0.12,0,0.167
2/28/2000,0.02,0.02,0,0,0.27,0,0.05,0,0.167
2/29/2000,0.01,0.03,0.01,0.4,-0.38,0,0.12,0,0.167
3/1/2000,0.01,0.02,0.01,0.9,-0.17,0,0.27,0,0.167
3/2/2000,0,0.01,0.01,1,0.11,0,0.43,0.01,0
3/3/2000,0.02,0.02,0.01,1,0.68,-1,0.55,0.01,-0.167
3/6/2000,-0.01,0.01,0,1,-0.06,0,0.72,0.01,-0.167
3/7/2000,-0.02,-0.03,0,0.8,0.68,0,0.85,0.01,0
3/8/2000,0,-0.02,-0.01,0.5,-0.41,1,0.87,0,-0.167
3/9/2000,0.03,0.03,0,0.5,-0.53,-1,0.8,0,-0.167
3/10/2000,-0.01,0.02,0.01,1,0.44,0,0.8,0,0
3/13/2000,-0.01,-0.02,0,0.9,0.33,0,0.78,0,0.167
3/14/2000,-0.01,-0.02,-0.01,0.7,-0.22,1,0.73,0,0.167
3/15/2000,0.02,0.01,0,0.5,0.25,0,0.68,0,-0.167
3/16/2000,0.05,0.07,0.02,0.9,1.49,-1,0.75,0,0
3/17/2000,0.01,0.05,0.03,1,-0.6,0,0.83,0.01,0.167
3/20/2000,-0.01,0,0.02,1,0.22,1,0.83,0.01,0.167
3/21/2000,0.02,0.02,0.01,0.9,0.09,0,0.83,0.01,0
3/22/2000,0.01,0.03,0.01,1,-0.39,0,0.88,0.02,0
3/23/2000,0.02,0.02,0.02,1,0.41,0,0.97,0.02,0
3/24/2000,0.01,0.02,0.01,1,-0.02,-1,0.98,0.02,0
3/27/2000,-0.01,0,0.01,1,-0.23,0,0.98,0.01,-0.167
3/28/2000,-0.01,-0.02,0,0.8,-0.28,0,0.95,0.01,-0.167
3/29/2000,0,0,-0.01,0.7,0.07,0,0.92,0.01,-0.167
3/30/2000,-0.02,-0.02,-0.01,0.8,0.41,0,0.88,0,-0.167
3/31/2000,0.01,-0.01,0,0.5,-0.03,0,0.8,0,0
