date,last,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,a1,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,B16,B17,b18,b19,b20,b21,b22,B23,B24,C1,C2,c3c4,c5,c6,c7,c8,c9,d1,d2,d3,d4,d5,d6,d7,d8,d9,e1,e2,e3,e4,e5,e6,e7,e8,f1,f2,f3,f4,f5,f6,f7,f8,f9,g1,g2,g3,g4,g5,Gains,buys
8/24/2010,105.53,0.059210633,-0.056409670,0.024875364,0.076923077,0.222222222,-0.250000000,0.251282308,0.184210744,-4.631626844,0.000000000,0.016999101,-0.556758829,Squat,0.002269930,-0.070407629,0.059330559,0.000035706,0.622138650,Buy,-0.129951766,-0.576693880,0.251282308,0.006186081,0.120328239,0.024875364,#DIV/0!,0.526918525,-0.004831202,-0.004429664,1.715112436,-0.004838715,1.828507992,0.000067953,0.000000000,-0.153139821,-0.005468235,0.221202146,-0.016674464,1.828507992,-0.448582683,-0.359132340,0.640867660,-0.004831202,-0.019847895,-0.021383591,-0.042058503,-0.004831202,0.884661562,0.000000000,0.184210744,0.000144151,0.216582989,-0.505348029,0.219825575,0.252612903,-0.546392376,0.000000000,0.000000000,0.000000000,0.256640609,0.253214300,-1.061745435,-0.126943146,#VALUE!,0.054212720,-0.050052072,Hold,-0.004831202,#DIV/0!,0.433334667,-0.018186900,0.111364459,0.449139459,-0.602739438,-0.020422962,-0.001175741,-0.017353698,-0.125043507,Hold,-0.011317262,Buy,-0.014843203,0
8/25/2010,105.94,-0.195652468,0.167351219,0.024365898,0.000000000,0.090909091,-0.333333333,-0.118852748,0.057025380,1.366728604,-0.105632611,0.011476589,-0.397151070,Fake,-0.006073729,0.071459850,-0.012426676,-0.000261333,-0.096127666,Buy,-0.057366220,1.292928976,-0.118852748,-0.006486254,0.047636035,0.024365898,#DIV/0!,0.051885911,-0.004508823,-0.003353081,0.406124942,-0.003566186,0.418588121,-0.001031574,0.000000000,2.176392257,-0.004340112,0.105138310,-0.006478041,0.418588121,0.488433693,-0.431482261,0.222043887,-0.004508823,-0.003453837,0.004952696,0.125403188,-0.004508823,0.456205673,-0.100000000,-0.048677158,-0.000196234,-0.336056762,-0.822176124,-0.174789789,-0.115246317,0.310608333,0.333333333,0.192489852,-0.285714286,0.050478199,0.048145276,-7.798112491,0.197660687,#VALUE!,-0.016879469,-0.054841128,Hold,-0.004508823,#DIV/0!,-0.046514840,-0.001009814,-0.033474021,-0.070249714,5.329714337,-0.453909959,-0.438757457,0.000213065,0.057579776,Hold,-0.125986086,Buy,0.003885180,1
8/26/2010,105.23,0.320463537,-0.114017131,0.023626910,-0.071428571,0.000000000,-0.500000000,0.203100560,-0.028921108,-0.176427975,0.018373352,-0.003457655,-3.035650668,Fake,-0.005291721,-0.018284913,-0.004806611,0.000218089,-0.091685759,Buy,-0.119023607,-0.193738251,0.203100560,-0.008958183,-0.043804109,0.023626910,#DIV/0!,-0.213226592,-0.004693110,-0.003789826,0.310205002,-0.004027004,0.316502782,-0.001681937,0.000000000,-0.900015545,-0.004626450,0.079371627,0.000000000,0.316502782,0.005869744,-0.814271019,0.033746730,-0.004693110,0.003940569,-0.002636445,-0.128757394,-0.004693110,0.335834030,0.111111111,0.078976547,0.000087028,0.213496392,-0.811956152,0.174625281,0.196711860,-0.410403335,-0.250000000,-0.236219986,0.400000000,0.046083721,0.043674445,-5.470684777,-0.243437839,#VALUE!,-0.009477163,-0.035391110,Hold,-0.004693110,#DIV/0!,-0.170727246,0.000379073,-0.018864509,0.040420431,-0.152758589,-0.242620388,-0.241816847,-0.001396407,-0.058898191,Hold,0.098066187,Buy,-0.006701897,-1
8/27/2010,106.86,-0.383041059,0.243787186,0.023439094,-0.076923077,0.000000000,-1.000000000,-0.288659851,0.041236977,0.898026026,0.380153216,0.035294741,-0.382037561,Green,-0.024084626,0.150571975,-0.161548881,-0.000281153,-0.247495948,Hold,0.011658652,0.966137410,-0.288659851,-0.037929709,-0.297642312,0.023439094,#DIV/0!,0.262115863,-0.004036930,-0.001282766,0.007090129,-0.001166549,0.010798912,-0.003145668,-0.001767070,6.732055343,-0.001989700,-0.045714297,0.000000000,0.010798912,0.288033952,-1.771287957,-0.025178746,-0.004036930,-0.000851225,0.010097410,0.106524205,-0.004036930,0.049476806,-0.100000000,-0.062886720,-0.000297173,-0.395641467,-21.979824975,-0.180597773,-0.284798682,1.598030988,0.333333333,0.840204288,-0.285714286,-0.010726552,-0.012265562,-0.592104242,0.691941773,#VALUE!,-0.164933649,-0.038248082,Hold,-0.004036930,#DIV/0!,0.564703045,0.004578604,-0.302664189,-0.148400988,0.664291254,1.587361764,1.620966482,0.007299953,0.219723641,Hold,-0.212471218,Buy,0.015489860,0
8/30/2010,105.31,-0.658767056,-0.129438407,0.022570088,-0.083333333,-0.083333333,#DIV/0!,-0.277172483,-0.168315916,-0.268005144,0.000000000,-0.009035077,2.196028684,Fade,-0.022833791,-0.129086921,-0.171119531,0.000191818,-0.034133854,Hold,-0.086513477,-0.389824919,-0.277172483,-0.071584619,-0.366198418,0.022570088,#DIV/0!,-0.214264829,-0.004674843,-0.003031011,0.151815533,-0.003154074,0.154233869,0.004361008,-0.020269082,-0.695995922,-0.003376979,0.009696040,0.000000000,0.154233869,-0.013240298,4.402388270,-0.139538773,-0.004674843,0.004401780,-0.009155700,-0.141493457,-0.004674843,0.036732517,0.000000000,-0.168315916,0.000074635,0.218374269,-0.916478871,0.135191026,-0.256803734,-0.584906351,0.000000000,0.000000000,0.000000000,-0.034453524,-0.037740354,2.612889594,0.137465437,#VALUE!,-0.174994417,-0.050569388,Hold,-0.004674843,#DIV/0!,-0.394737149,-0.001948812,-0.319365788,0.159604989,-0.093418856,0.216873817,0.210634965,-0.005105878,-0.115176254,Hold,0.193633143,Hold,-0.014504988,1
8/31/2010,105.31,-0.864584216,0.024824855,0.022071922,-0.090909091,-0.090909091,#DIV/0!,-0.098581184,0.025296792,-0.132196757,0.000000000,-0.013158895,-0.765918058,Squat,-0.001609989,0.035842569,0.011591965,-0.000347216,0.123772377,Hold,-0.070216557,-0.313288701,-0.167921093,0.016477488,-0.029691678,0.022071922,#DIV/0!,-0.273199904,-0.002650673,-0.002634862,0.091870346,-0.002689445,0.093812226,0.003005054,-0.002710299,2.246744594,-0.002758163,-0.006426249,0.000000000,0.093812226,-0.434993309,0.691736662,-0.274344562,-0.002650673,-0.008199453,0.028179267,0.098822188,-0.002650673,0.004231431,-0.111111111,-0.088625074,0.000491650,-0.090909091,11.527444992,0.000000000,-0.162789013,0.000000000,0.000000000,0.000000000,-0.200000000,0.045061760,0.041750840,-0.776783187,0.064054117,#VALUE!,0.008910566,-0.060183253,Hold,-0.002650673,#DIV/0!,-0.074531631,-0.005479989,0.017900530,-0.419739604,0.296660945,0.184637909,0.221594781,-0.004115143,0.000000000,Hold,-0.009324213,Buy,0.000000000,0
9/1/2010,108.46,-9.692367653,0.190894843,0.022241225,-0.100000000,-0.400000000,#DIV/0!,-1.045181038,0.089778305,-0.084227247,0.505882577,0.059345602,-0.574812956,Fake,-0.000723657,0.360073161,-0.006711394,-0.000172573,-1.365273540,Hold,0.059792814,0.889024430,-1.045181038,-0.039708079,-0.044876666,0.022241225,#DIV/0!,-1.253024304,-0.000113235,0.001630161,-0.200300260,0.002125998,-0.196672291,-0.000186699,0.000000000,0.737166752,0.001533073,-0.162959968,0.000000000,-0.196672291,0.395880341,-0.198816602,-0.302899002,-0.000113235,0.022806120,0.036263969,0.200182813,-0.000113235,-0.059383650,-0.125000000,-0.046443984,-0.000565066,-0.519728601,0.664821075,-0.182887882,-1.045314524,2.863639876,0.250000000,0.882353221,-0.500000000,-0.042950336,-0.044935597,-1.499981000,0.481520792,#VALUE!,-0.006823868,-0.018361828,Hold,-0.000113235,#DIV/0!,1.214759682,0.025175771,-0.013601172,-0.957131254,0.027462404,0.091649054,0.117248497,0.026360175,0.326295031,Hold,-0.620078815,Buy,0.029911699,0
9/2/2010,109.47,0.115041979,0.110545451,0.021959924,-0.111111111,0.000000000,-0.333333333,7.066606223,0.157788635,-0.145443622,-0.041418421,-0.032897882,-4.969881966,Fade,0.005812412,0.068214086,0.055700298,-0.000031884,1.607696718,Hold,0.117633623,0.075831968,7.066606223,0.009284750,0.085529825,0.021959924,#DIV/0!,1.324355249,0.000772758,0.002665270,-0.309803896,0.003216888,-0.304664753,0.002524183,0.000000000,-0.596318917,0.002807970,-0.242263200,0.000000000,-0.304664753,-0.156331660,-0.434648852,-0.245652064,0.000772758,0.012588800,0.012294193,0.113331344,0.000772758,-0.019710530,-0.142857143,-0.007609741,0.000252298,-0.633636953,-0.616877472,-0.136049699,7.070331495,0.237647529,0.200000000,0.150297894,-1.000000000,-0.165536419,-0.166836385,2.920082082,0.072803695,#VALUE!,0.056516099,0.004671827,Hold,0.000772758,#DIV/0!,-0.687879375,0.011491036,0.116226267,-7.843787562,-0.412669105,-0.503745089,-0.501942683,0.010944249,0.062225816,Hold,-0.523317098,Hold,0.009312207,-1
9/3/2010,110.89,-0.470897215,0.113836276,0.021766782,-0.125000000,-2.166666667,6.000000000,0.074383533,0.000000000,0.244741530,0.011643462,-0.012633574,-0.252297319,Squat,0.015555974,0.059337184,0.145117410,0.000199286,0.494432532,Sell,0.157864344,0.076363948,0.074383533,0.057016483,0.394685829,0.021766782,#DIV/0!,1.060778666,0.001750670,0.004063187,-0.571193492,0.004706678,-0.559812111,-0.001156780,0.005435266,-0.424013385,0.004466283,-0.420377151,0.000000000,-0.559812111,-0.234877898,-1.203165293,0.066160416,0.001750670,0.013579223,0.013439377,0.020651657,0.001750670,-0.032597070,0.000000000,0.000000000,0.000269321,-2.104510307,-0.142628425,-0.214048326,0.061344718,0.269961494,0.000000000,0.011643462,#DIV/0!,-0.250396817,-0.250915866,-0.346943919,0.005293958,#VALUE!,0.147122133,0.027204281,Hold,0.001750670,#DIV/0!,0.475726675,0.013376079,0.315889187,1.268279970,-0.490538457,0.146604944,0.139300002,0.013274730,0.074827087,Hold,-0.901039049,Sell,0.012971572,1
9/7/2010,109.64,-0.835003660,-0.068787260,0.021062945,-0.142857143,0.000000000,-0.071428571,-1.115385888,0.021472292,-0.256193754,0.169308723,-0.018932985,-2.369965245,Fake,0.000267921,-0.077137896,0.002187840,0.000346318,-0.239875512,Sell,0.044969444,-0.495309134,-1.115385888,0.002140363,0.067497858,0.021062945,#DIV/0!,-0.680844010,0.000033227,0.001964653,-0.627777743,0.002246184,-0.603086957,-0.000471882,0.000000000,-0.687900438,0.002662715,-0.549770328,0.000000000,-0.603086957,0.379650163,2.715061734,0.230537569,0.000033227,-0.003982937,-0.023271718,-0.146259171,0.000033227,-0.083955341,0.166666667,0.191717674,0.000281360,-1.310661653,-2.446640790,0.182214964,-1.115175689,-0.187125749,-0.166666667,-0.025576064,#DIV/0!,-0.340870629,-0.341890633,-1.765641187,-0.092056887,#VALUE!,0.002221139,0.010331597,Hold,0.000033227,#DIV/0!,-0.118421944,-0.006418919,0.004447211,-0.981218169,-1.611091795,-0.245293259,-0.241571713,-0.007634600,-0.081955619,Hold,12.500125001,Sell,-0.011272432,0
