Gains,Multi Day Gains,SMA Gains,Stoch RSI,Single Day Volume,Buy
-0.02,-0.018,-0.013,0.7,0.472,0
0.006,-0.015,-0.004,0.4,-0.134,0
0.011,0.017,-0.001,0.5,0.299,0
-0.015,-0.004,0.001,0.7,-0.202,0
-0.005,-0.02,-0.003,0.4,-0.143,0
-0.021,-0.027,-0.014,0,0.241,0
-0.003,-0.024,-0.01,0,0.745,0
0.012,0.009,-0.004,0,-0.262,0
-0.02,-0.009,-0.004,0.3,0.434,1
-0.004,-0.024,-0.004,0,-0.392,0
0.021,0.017,-0.001,0,0.269,0
0.01,0.031,0.009,0.4,-0.385,0
0.007,0.017,0.013,0.9,-0.167,0
0.001,0.008,0.006,1,0.107,-1
0.019,0.019,0.009,1,0.68,0
-0.01,0.009,0.003,1,-0.063,0
-0.019,-0.029,-0.003,0.8,0.676,1
-0.001,-0.021,-0.01,0.5,-0.411,-1
0.029,0.028,0.003,0.5,-0.534,0
-0.005,0.024,0.008,1,0.441,0
-0.011,-0.016,0.004,0.9,0.33,1
-0.014,-0.025,-0.01,0.7,-0.216,0
0.023,0.009,-0.001,0.5,0.246,-1
0.047,0.071,0.019,0.9,1.485,0
0.007,0.054,0.026,1,-0.599,1
-0.005,0.001,0.016,1,0.217,0
0.021,0.015,0.008,0.9,0.089,0
0.006,0.027,0.007,1,-0.393,0
0.017,0.023,0.015,1,0.411,-1
0.006,0.023,0.01,1,-0.016,0
-0.011,-0.005,0.004,1,-0.232,0
-0.006,-0.016,-0.004,0.8,-0.28,0
0.001,-0.005,-0.005,0.7,0.065,0
-0.017,-0.016,-0.007,0.8,0.407,0
0.011,-0.006,-0.002,0.5,-0.026,0
0.006,0.017,0,0.6,-0.08,0
-0.007,-0.002,0.003,0.5,1.302,0
-0.006,-0.014,-0.002,0.1,-0.572,0
0.009,0.002,-0.001,0,-0.239,0
0.006,0.015,0.003,0.2,-0.056,0
-0.004,0.002,0.004,0.3,0.598,0
-0.003,-0.007,0,0.2,-0.064,0
-0.027,-0.03,-0.011,0.1,0.197,0
-0.014,-0.041,-0.015,0,0.134,1
-0.057,-0.07,-0.033,0,1.421,0
0.035,-0.024,-0.012,0,-0.192,0
0.026,0.062,0.001,0.3,-0.537,0
-0.009,0.017,0.017,0.5,-0.408,0
0.005,-0.005,0.007,0.5,0.303,0
-0.011,-0.006,-0.005,0.5,0.51,-1
0.042,0.03,0.012,0.5,0.094,0
-0.011,0.03,0.007,0.8,-0.453,0
-0.003,-0.015,0.009,0.7,1.022,0
-0.006,-0.009,-0.007,0.7,-0.439,0
0.014,0.007,0.002,0.7,-0.162,0
-0.02,-0.007,-0.004,0.8,0.284,0
-0.023,-0.043,-0.01,0.7,0.342,0
0.008,-0.016,-0.012,0.5,-0.528,0
0.012,0.02,-0.001,0.6,0.318,0
-0.008,0.005,0.004,0.5,-0.356,0
-0.008,-0.015,-0.001,0.3,0.11,0
-0.023,-0.03,-0.013,0.1,0.832,0
0.023,0,-0.003,0,-0.311,0
0.011,0.034,0.004,0.4,-0.159,0
0.017,0.028,0.017,0.6,-0.255,0
0.01,0.027,0.013,1,0.845,0
-0.01,-0.001,0.006,1,-0.279,0
-0.012,-0.023,-0.004,0.8,-0.268,0
-0.016,-0.028,-0.013,0.6,0.507,0
-0.008,-0.023,-0.012,0.4,0.663,0
-0.015,-0.022,-0.013,0.3,-0.264,0
0.016,0.001,-0.002,0.1,0.389,1
-0.017,-0.001,-0.005,0.4,-0.253,0
0.001,-0.016,0,0.1,-0.419,0
0.033,0.034,0.006,0.1,0.114,0
0.002,0.035,0.012,0.7,0.129,0
0.018,0.02,0.018,0.7,0.48,-1
0.017,0.035,0.012,1,0,0
-0.005,0.012,0.01,1,-0.219,0
-0.004,-0.009,0.003,0.9,-0.306,0
0.007,0.002,-0.001,0.8,0.012,0
-0.004,0.003,0,0.9,0.163,0
-0.002,-0.006,0,0.9,-0.461,0
-0.012,-0.014,-0.006,0.8,0.192,0
0.019,0.007,0.002,0.6,0.783,0
0.002,0.02,0.003,0.9,-0.021,0
0.002,0.004,0.008,0.9,-0.084,0
-0.008,-0.006,-0.001,0.9,-0.053,0
0.013,0.004,0.002,0.4,-0.083,0
-0.004,0.009,0,0.8,0.269,0
0,-0.004,0.003,0.6,-0.519,0
-0.015,-0.016,-0.006,0.6,1.405,0
-0.009,-0.024,-0.008,0,-0.351,0
0.013,0.004,-0.004,0,0.07,0
-0.007,0.005,-0.001,0.4,-0.2,0
0.003,-0.005,0.003,0.2,0.286,0
-0.009,-0.007,-0.004,0.3,0.187,0
0.008,-0.002,0.001,0,0.169,0
0.014,0.021,0.004,0.3,-0.806,0
-0.018,-0.005,0.001,0.7,0.913,0
0.008,-0.01,0.001,0.1,1.17,0
0.016,0.024,0.002,0.4,-0.491,0
-0.002,0.014,0.007,0.8,-0.072,0
0.002,0,0.005,0.9,0.929,0
0.007,0.009,0.002,1,0.083,0
0.004,0.011,0.004,1,-0.09,0
0.01,0.014,0.007,1,-0.003,0
-0.002,0.008,0.004,1,-0.212,0
-0.008,-0.01,0,1,0.013,0
-0.008,-0.016,-0.006,0.7,0.996,0
0.014,0.006,-0.001,0.4,-0.466,0
-0.02,-0.006,-0.005,0.7,0.246,0
-0.006,-0.025,-0.004,0.2,-0.005,0
0.003,-0.003,-0.008,0,-0.155,0
-0.01,-0.007,-0.004,0.1,1.536,0
-0.003,-0.013,-0.003,0,-0.366,1
-0.023,-0.026,-0.012,0,-0.186,0
0.006,-0.016,-0.007,0,-0.155,0
