type,shares,test portfolio,time,total amount bought,share price
buy,35,169.90052500000093,2018-08-01,9830.099474999999,280.859985
sell,35,10106.400315,2018-08-14,9936.49979,283.899994
short,35,10180.600140000002,2018-08-15,9936.49979,281.779999
buy,36,36.52017600000363,2018-08-15,10144.079963999999,281.779999
sell,36,10487.680104000005,2018-08-31,10451.159928000001,290.309998
short,36,10533.760068000005,2018-09-05,10451.159928000001,289.029999
buy,36,128.6801040000064,2018-09-05,10405.079963999999,289.029999
sell,36,10502.440248000006,2018-09-06,10373.760144,288.160004
short,36,10522.600176000007,2018-09-07,10373.760144,287.600006
buy,36,168.99996000000647,2018-09-07,10353.600216,287.600006
sell,36,10635.999960000006,2018-09-25,10467,290.750000
