Date,Gains,Multi Day Gains,SMA Gains,Stoch RSI,Single Day Volume,-1,Stoch Avg,SMA Gains Avg,Buys Avg,Expon Moving Avg,Triple Expon Smoothed,Bond Gains,Bond Vol,Bond Expon Avg,Bond Triple,Trs Gains,Trs Vol,Trs Expon Avg,Trs Triple
2007-04-10,,,,,,1,,,,0.000,NaN,,,0.000,NaN,,,0.000,NaN
2007-04-11,-0.004,,,,0.879,1,,,,0.000,NaN,-0.003,1.506,0.000,NaN,0.000,4.639,0.000,NaN
2007-04-12,0.004,0.000,,,0.086,1,,,,0.000,Infinity,-0.000,-0.109,0.000,-Infinity,-0.006,-0.948,0.000,-Infinity
2007-04-13,0.005,0.009,0.002,,-0.270,1,,,,0.000,0.730,-0.002,-0.770,0.000,0.230,-0.000,-0.067,0.000,0.933
2007-04-16,0.009,0.014,0.006,,-0.015,1,,,,0.000,0.416,0.001,1.928,0.000,-0.548,-0.004,1.723,0.000,1.314
2007-04-17,0.003,0.012,0.006,,0.305,1,,,,0.000,0.383,0.003,-0.514,0.000,-0.590,-0.000,0.044,0.000,0.593
2007-04-18,0.001,0.004,0.004,,-0.185,1,,,,0.000,0.226,0.002,0.188,0.000,-1.708,-0.001,-0.225,0.000,0.289
2007-04-19,-0.000,0.001,0.001,,0.165,-1,,,,0.000,-0.215,-0.000,0.964,0.000,-4.738,0.000,0.464,0.000,0.000
2007-04-20,0.009,0.009,0.003,,0.206,1,,,,0.003,0.329,-0.000,-0.461,0.000,0.684,-0.004,-0.097,-0.002,0.296
2007-04-23,-0.004,0.006,0.002,,-0.377,1,,,,0.002,-0.154,0.001,0.342,0.000,-0.545,0.005,0.211,-0.000,-0.277
2007-04-24,0.000,-0.003,0.002,,0.481,1,,,,0.001,0.270,0.002,0.794,0.001,-2.147,-0.001,0.444,-0.000,0.552
2007-04-25,0.009,0.010,0.002,,-0.053,-1,,,,0.003,0.202,-0.001,2.409,0.000,-6.382,-0.002,-0.820,-0.001,0.064
2007-04-26,0.001,0.010,0.003,,-0.181,-1,,,,0.003,0.137,-0.002,-0.741,-0.000,0.307,0.004,4.368,0.000,-0.323
2007-04-27,-0.001,0.000,0.003,,0.219,1,,,,0.002,-0.147,-0.000,-0.345,-0.000,0.154,-0.003,0.368,-0.000,0.651
2007-04-30,-0.008,-0.009,-0.003,,-0.068,1,,,,-0.000,-0.161,0.003,-0.199,0.001,-0.107,-0.002,-0.887,-0.001,0.045
2007-05-01,0.003,-0.006,-0.002,,0.332,1,,,,0.000,0.255,-0.001,0.526,0.000,0.183,0.006,-0.603,0.001,-0.017
2007-05-02,0.006,0.008,0.000,,-0.351,1,,,,0.002,0.132,0.000,-0.473,0.000,-0.081,0.001,7.520,0.001,-0.147
2007-05-03,0.005,0.011,0.005,,-0.006,1,,,,0.002,0.116,-0.001,0.170,-0.000,0.104,0.001,-0.385,0.001,-0.106
2007-05-04,0.004,0.009,0.005,,0.114,-1,,,,0.003,0.116,0.001,-0.432,0.000,-0.053,-0.004,5.931,-0.000,0.819
2007-05-07,0.000,0.004,0.003,,-0.342,1,,,,0.002,0.068,0.001,6.057,0.000,-0.398,0.002,-0.422,0.000,-0.260
2007-05-08,-0.001,-0.001,0.001,,0.270,-1,,,,0.001,-0.081,0.000,-0.749,0.000,-0.166,0.003,1.800,0.001,-0.985
2007-05-09,0.003,0.001,0.001,,0.267,1,,,,0.002,0.112,-0.001,0.476,-0.000,0.293,0.001,-0.934,0.001,-4.409
2007-05-10,-0.010,-0.008,-0.003,,0.505,-1,,,,-0.001,-0.151,0.001,-0.163,0.000,-0.190,0.001,0.546,0.001,2.000
2007-05-11,0.009,-0.002,0.001,,-0.262,1,,,,0.001,0.132,-0.001,-0.090,-0.000,0.213,0.001,0.607,0.001,1.071
